Symbol	Name	Last Price	Change	%_Change
BTCUSD=X	BTC/USD	9,688.0459	-38.5293	-0.40%
ETHUSD=X	ETH/USD	213.3970	-1.1281	-0.53%
EURUSD=X	EUR/USD	1.0934	+0.0017	+0.1585%
JPY=X	USD/JPY	107.85	+0.542	+0.5051%
GBPUSD=X	GBP/USD	1.2243	+0.005	+0.4101%
AUDUSD=X	AUD/USD	0.6561	+0.0046	+0.7091%
NZDUSD=X	NZD/USD	0.6098	+0.0066	+1.0907%
EURJPY=X	EUR/JPY	117.924	+0.761	+0.6495%
GBPJPY=X	GBP/JPY	132.046	+1.213	+0.9271%
EURGBP=X	EUR/GBP	0.8929	-0.0019	-0.2157%
EURCAD=X	EUR/CAD	1.5181	-0.0036	-0.2346%
EURSEK=X	EUR/SEK	10.5647	-0.0233	-0.2202%
EURCHF=X	EUR/CHF	1.0626	+0.0012	+0.1131%
EURHUF=X	EUR/HUF	349.98	-2.75	-0.7796%
EURJPY=X	EUR/JPY	117.924	+0.761	+0.6495%
CNY=X	USD/CNY	7.098	-0.01	-0.1407%
HKD=X	USD/HKD	7.7508	-0.0001	-0.0013%
SGD=X	USD/SGD	1.4164	-0.0013	-0.0917%
INR=X	USD/INR	75.6500	+0.0500	+0.07%
MXN=X	USD/MXN	23.6173	-0.1378	-0.5801%
PHP=X	USD/PHP	50.6400	-0.2400	-0.47%
IDR=X	USD/IDR	14,750.0000	-75.0000    -0.51%
THB=X	USD/THB	31.883	-0.116	-0.3625%
MYR=X	USD/MYR	4.3470	-0.0130	-0.30%
ZAR=X	USD/ZAR	18.2599	-0.0731	-0.3987%
RUB=X	USD/RUB	72.5604	-0.1274	-0.1753%
